INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,X15,X16,age_group,shooting_yearmon,shooting_year,year
80-10-014679,WPNS LAW VIOLATION,NULL,"KELTEC, CNC IND",KEL-TEC,NA,2010-03-02,PRESTON HWY / WANNSEE DR,LOUISVILLE,KY,40219,WHITE,M,47,NA,NA,"(40,50]",Mar 2010,2010,2010
80-10-014994,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NA,25C,2010-03-03,E KENTUCKY ST / S SHELBY ST,LOUISVILLE,KY,40203,BLACK,M,31,NA,NA,"(30,40]",Mar 2010,2010,2010
80-10-014769,ALL OTHER OFFENSES,NULL,HIGH (HI) STAND,NA,NA,2010-03-04,JOHNSONTOWN RD / YUMA WAY,LOUISVILLE,KY,40272,NULL,NULL,NULL,NA,NA,NA,Mar 2010,2010,2010
80-10-015443,THEFT OTHER,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 27 (40 SW,40C,2010-03-05,9500 BLOCK PRESTON HWY,LOUISVILLE,KY,40229,WHITE,F,23,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-015699,WPNS LAW VIOLATION,NULL,NA,NA,NA,2010-03-05,2100 BLOCK W OAK ST,LOUISVILLE,KY,40210,BLACK,F,29,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-015699,WPNS LAW VIOLATION,NULL,NA,NA,NA,2010-03-05,2100 BLOCK W OAK ST,LOUISVILLE,KY,40210,BLACK,F,29,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-016246,ACCIDENTAL SHOOTING,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT-1911,45C,2010-03-08,9000 BLOCK DELEE WAY,LOUISVILLE,KY,40219,WHITE,M,28,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-002393,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,40C,2010-01-11,TAYLOR BLVD / WINKLER AVE,LOUISVILLE,KY,40208,WHITE,M,27,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-002355,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",LORCIN ENGINEER,L-380 .380 ACP,380C,2010-01-11,400 BLOCK S CAMPBELL ST,LOUISVILLE,KY,40204,BLACK,M,21,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-003031,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40223,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-003580,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC","KELTEC, CNC IND",NA,380C,2010-01-15,MONTANA AVE / RODMAN ST,LOUISVILLE,KY,40208,BLACK,M,20,NA,NA,"(10,20]",Jan 2010,2010,2010
80-09-099274,AGGRAVATED ASSAULT,"PISTOL, REVOLVER",RUGER,NA,357C,2010-01-01,700 BLOCK HEYWOOD AVE,LOUISVILLE,KY,40208,BLACK,M,23,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-000548,WPNS LAW VIOLATION,"PISTOL, REVOLVER",ROHM,NA,22C,2010-01-04,S 26TH ST / W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,17,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-000548,WPNS LAW VIOLATION,"PISTOL, REVOLVER",ROHM,NA,22C,2010-01-04,S 26TH ST / W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,17,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-000954,ROBBERY,"PISTOL, REVOLVER",CHARTER ARMS CO,UNDERCOVER,38C,2010-01-05,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2010,2010,2010
80-10-001042,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NA,45C,2010-01-05,2900 BLOCK W MADISON ST,LOUISVILLE,KY,40211,BLACK,M,47,NA,NA,"(40,50]",Jan 2010,2010,2010
80-10-000411,SIMPLE ASSAULT,NULL,NA,NA,NA,2010-01-03,600 BLOCK W.JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,28,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-001952,WPNS LAW VIOLATION,"PISTOL, REVOLVER",NA,NA,222C,2010-01-09,CANE RUN RD / PATRICIA DR,LOUISVILLE,KY,40216,BLACK,M,23,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-003832,SHOPLIFTING,"PISTOL, SEMI-AUTOMATIC",HECKLER & KOCH,HK45,45C,2010-01-16,4100 BLOCK TOWNE CENTER DR,LOUISVILLE,KY,40241,WHITE,M,45,NA,NA,"(40,50]",Jan 2010,2010,2010
80-10-004252,NARCOTICS,"RIFLE, SINGLE-SHOT",CONNECTICUT ARM,NA,50C,2010-01-18,7800 BLOCK ALFRED SCHLATTER DR,LOUISVILLE,KY,40214,WHITE,M,19,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-006645,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,C9,9MM,2010-01-27,2600 BLOCK S 4TH ST,LOUISVILLE,KY,40208,BLACK,M,24,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-006927,NARCOTICS,"PISTOL, REVOLVER",ASTAR,NA,44C,2010-01-28,1700 BLOCK W GAULBERT AVE,LOUISVILLE,KY,40210,BLACK,M,31,NA,NA,"(30,40]",Jan 2010,2010,2010
80-10-005966,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LYNDON,KY,40242,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-012336,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NA,9MM,2010-02-21,400 BLOCK N 29TH ST,LOUISVILLE,KY,40212,WHITE,M,44,NA,NA,"(40,50]",Feb 2010,2010,2010
80-10-012336,AGGRAVATED ASSAULT,NULL,NA,NA,NA,2010-02-20,400 BLOCK N 29TH ST,LOUISVILLE,KY,40212,WHITE,M,44,NA,NA,"(40,50]",Feb 2010,2010,2010
80-10-014735,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","KELTEC, CNC IND",P-3AT,380C,2010-03-02,10700 BLOCK BLACK WALNUT BLVD,LOUISVILLE,KY,40229,WHITE,M,22,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-014735,AGGRAVATED ASSAULT,NULL,NA,NA,380C,2010-03-02,10700 BLOCK BLACK WALNUT BLVD,LOUISVILLE,KY,40229,WHITE,M,22,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-016518,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40272,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-017395,COUNTERFEITING,"PISTOL, SEMI-AUTOMATIC",NA,NA,NA,2010-03-12,4300 BLOCK VIRGINIA AVE,LOUISVILLE,KY,40211,BLACK,M,27,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-018911,WPNS LAW VIOLATION,"PISTOL, BOLT ACTION","GLOCK, INC.",MODEL 23/23C (4,40C,2010-03-18,5600 BLOCK TAMARACK LN,LOUISVILLE,KY,40258,BLACK,M,34,NA,NA,"(30,40]",Mar 2010,2010,2010
80-10-019619,ROBBERY,"PISTOL, SEMI-AUTOMATIC",BRYCO ARMS,J-25,NA,2010-03-20,400 BLOCK NORTH 29TH ST,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Mar 2010,2010,2010
80-10-020340,NARCOTICS,"PISTOL, REVOLVER",NA,NA,38C,2010-03-22,1200 BLOCK ORMSBY LN,LYNDON,KY,40222,BLACK,M,32,NA,NA,"(30,40]",Mar 2010,2010,2010
80-10-004252,NARCOTICS,"RIFLE, BOLT ACTION",REMINGTON ARMS,FIELDMASTER,3006,2010-01-18,7800 BLOCK ALFRED SCHLATTER DR,LOUISVILLE,KY,40214,WHITE,M,19,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-004596,WPNS LAW VIOLATION,"PISTOL, REVOLVER",RG INDUSTRIES,RG (WITH NUMBER,38C,2010-01-20,N 27TH ST / NORTHWESTERN PKY,LOUISVILLE,KY,40212,WHITE,M,18,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-003857,JUSTIFIABLE HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-005255,NARCOTICS,NULL,TAURUS INTERNAT,TAURUS INTERNAT,NA,2010-01-22,4300 BLOCK S BROOK ST,LOUISVILLE,KY,40214,WHITE,M,28,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-005845,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2010-01-24,2200 BLOCK LYTLE ST,LOUISVILLE,KY,40212,WHITE,M,17,NA,NA,"(10,20]",Jan 2010,2010,2010
80-10-006576,NARCOTICS,"RIFLE, BOLT ACTION",RUGER,"STURM, RUGER &",22C,2010-01-27,0 BLOCK WINIFREDE LN,LOUISVILLE,KY,40206,WHITE,M,26,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-007110,INJURED PERSON REPORT,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,9MM,2010-01-29,1300 BLOCK EASTERN PKY,LOUISVILLE,KY,40204,NULL,NULL,NULL,NA,NA,NA,Jan 2010,2010,2010
80-10-007387,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",LLAMA (GABILOND,LLAMA,9MM,2010-01-30,600 BLOCK SOUTHWESTERN PKY,LOUISVILLE,KY,40211,BLACK,M,31,NA,NA,"(30,40]",Jan 2010,2010,2010
80-10-008651,WPNS LAW VIOLATION,"PISTOL, PERCUSSION",NA,NA,6666,2010-02-05,3200 BLOCK TAYLOR BLVD,LOUISVILLE,KY,40215,WHITE,M,53,NA,NA,"(50,60]",Feb 2010,2010,2010
80-10-009511,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 23/23C (4,40C,2010-02-08,1800 BLOCK CUMMINGS RD,LOUISVILLE,KY,40272,BLACK,M,33,NA,NA,"(30,40]",Feb 2010,2010,2010
80-10-022645,AGGRAVATED ASSAULT,"PISTOL, REVOLVER",CHARTER ARMS CO,UNDERCOVER,36C,2010-03-30,2300 BLOCK W. MUHAMMED ALI BLVD,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,Mar 2010,2010,2010
80-10-022891,WPNS LAW VIOLATION,"PISTOL, BOLT ACTION",RUGER,NA,22C,2010-03-31,CECIL AVE / GREENWOOD AVE,LOUISVILLE,KY,40211,BLACK,M,19,NA,NA,"(10,20]",Mar 2010,2010,2010
80-10-023614,WPNS LAW VIOLATION,"PISTOL, REVOLVER",NORTH AMERICAN,NA,22C,2010-04-03,2700 BLOCK W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40212,BLACK,F,34,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-025084,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",KELTEC,P3AT,380C,2010-04-08,2100 BLOCK ALGONQUIN PKY,LOUISVILLE,KY,40210,UNKNOWN,U,NULL,NA,NA,NA,Apr 2010,2010,2010
80-10-025754,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION",WINCHESTER,NA,12GA,2010-04-11,4200 BLOCK MEDALLION CT,LOUISVILLE,KY,40219,BLACK,M,35,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-025923,NARCOTICS,"SHOTGUN, PUMP ACTION",MOSSBERG,NA,20GA,2010-04-12,700 BLOCK BERMUDA LN,LOUISVILLE,KY,40213,BLACK,M,25,NA,NA,"(20,30]",Apr 2010,2010,2010
80-10-026084,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",BRYCO ARMS,NA,380C,2010-04-12,N 29TH ST / SLEVIN ST,LOUISVILLE,KY,40212,BLACK,M,NULL,NA,NA,NA,Apr 2010,2010,2010
80-10-027333,SIMPLE ASSAULT,"SHOTGUN, PUMP ACTION",MOSSBURG,MODEL 88,20GA,2010-04-16,10500 BLOCK W MANSLICK RD,LOUISVILLE,KY,40118,WHITE,M,18,NA,NA,"(10,20]",Apr 2010,2010,2010
80-10-027428,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SW40VE,40C,2010-04-16,BARDSTOWN RD / FEGENBUSH LN,LOUISVILLE,KY,40218,BLACK,M,35,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-027428,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SW40VE,40C,2010-04-16,BARDSTOWN RD / FEGENBUSH LN,LOUISVILLE,KY,40218,BLACK,M,35,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-028200,WPNS LAW VIOLATION,"PISTOL, REVOLVER","WESSON ARMS, DA",NA,44C,2010-04-20,4200 BLOCK MACHUPE DR,LOUISVILLE,KY,40241,BLACK,F,38,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-020340,NARCOTICS,"PISTOL, REVOLVER",NA,NA,38C,2010-03-22,1200 BLOCK ORMSBY LN,LYNDON,KY,40222,BLACK,M,32,NA,NA,"(30,40]",Mar 2010,2010,2010
80-10-020340,NARCOTICS,"PISTOL, REVOLVER",NA,NA,38C,2010-03-22,1200 BLOCK ORMSBY LN,LYNDON,KY,40222,BLACK,M,32,NA,NA,"(30,40]",Mar 2010,2010,2010
80-10-035872,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",DAVIS INDUSTRIE,P-32,32C,2010-05-15,CLEVELAND BLVD / N HITE AVE,LOUISVILLE,KY,40206,BLACK,M,22,NA,NA,"(20,30]",May 2010,2010,2010
80-10-035879,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC",BRYCO ARMS,J-22,22C,2010-05-15,7800 BLOCK ST ANDREWS CHURCH RD,LOUISVILLE,KY,40214,BLACK,M,43,NA,NA,"(40,50]",May 2010,2010,2010
80-10-036071,WPNS LAW VIOLATION,MACHINE GUN,STEN,NA,9MM,2010-05-15,1800 BLOCK LYTLE ST,LOUISVILLE,KY,40203,WHITE,M,61,NA,NA,"(60,70]",May 2010,2010,2010
80-10-036122,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO,MOD HP22,22C,2010-05-16,GEORGETOWN PL / LAFAYETTE DR,LOUISVILLE,KY,40215,BLACK,M,21,NA,NA,"(20,30]",May 2010,2010,2010
80-10-037247,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",JENNINGS FIREAR,JENNINGS FIREAR,22C,2010-05-19,4200 BLOCK W MARKET ST,LOUISVILLE,KY,40212,BLACK,M,18,NA,NA,"(10,20]",May 2010,2010,2010
80-10-037247,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",JENNINGS FIREAR,JENNINGS FIREAR,22C,2010-05-19,4200 BLOCK W MARKET ST,LOUISVILLE,KY,40212,BLACK,M,18,NA,NA,"(10,20]",May 2010,2010,2010
80-10-038201,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",UNKNOWN MANUFAC,UNKNOWN,40C,2010-05-23,S 26TH ST / W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,24,NA,NA,"(20,30]",May 2010,2010,2010
80-10-038863,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2010-05-25,3200 BLOCK GOLDEN TURTLE CIR,LOUISVILLE,KY,40218,BLACK,M,46,NA,NA,"(40,50]",May 2010,2010,2010
80-10-038863,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2010-05-25,3200 BLOCK GOLDEN TURTLE CIR,LOUISVILLE,KY,40218,BLACK,M,46,NA,NA,"(40,50]",May 2010,2010,2010
80-10-039403,ROBBERY,NULL,NA,NA,NA,2010-05-27,S 4TH ST / W OAK ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-039403,ROBBERY,NULL,NA,NA,NA,2010-05-27,S 4TH ST / W OAK ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-039892,WPNS LAW VIOLATION,"PISTOL, REVOLVER",TAURUS INTERNAT,357 MAGNUM,357C,2010-05-28,1200 BLOCK DIXIE HWY,LOUISVILLE,KY,40210,BLACK,M,20,NA,NA,"(10,20]",May 2010,2010,2010
80-10-039921,ROBBERY,"PISTOL, REVOLVER",RG INDUSTRIES,RG 14,22C,2010-05-28,6400 BLOCK FERN VALLEY WAY,LOUISVILLE,KY,40219,BLACK,M,17,NA,NA,"(10,20]",May 2010,2010,2010
80-10-039952,NARCOTICS,"RIFLE, SINGLE-SHOT",MARLIN FIREARMS,MODLE 60 SERIES,22C,2010-05-29,13100 BLOCK REHL RD,LOUISVILLE,KY,40299,WHITE,M,20,NA,NA,"(10,20]",May 2010,2010,2010
80-10-039952,NARCOTICS,"RIFLE, SINGLE-SHOT",MARLIN FIREARMS,MODLE 60 SERIES,22C,2010-05-29,13100 BLOCK REHL RD,LOUISVILLE,KY,40299,WHITE,M,20,NA,NA,"(10,20]",May 2010,2010,2010
80-10-039952,NARCOTICS,"RIFLE, SINGLE-SHOT",MARLIN FIREARMS,MODLE 60 SERIES,22C,2010-05-29,13100 BLOCK REHL RD,LOUISVILLE,KY,40299,WHITE,M,20,NA,NA,"(10,20]",May 2010,2010,2010
80-10-041317,WPNS LAW VIOLATION,"PISTOL, REVOLVER",ROTH-GASSER,NONE,22C,2010-06-02,200 BLOCK CHARLESTOWN CT,DHIL,KY,40243,BLACK,M,17,NA,NA,"(10,20]",Jun 2010,2010,2010
80-10-041255,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,JC-40 SERIES,40C,2010-06-03,800 BLOCK MIDWAY AVE,LOUISVILLE,KY,40211,BLACK,M,51,NA,NA,"(50,60]",Jun 2010,2010,2010
80-10-030031,WPNS LAW VIOLATION,"PISTOL, REVOLVER",ROHM,NA,22C,2010-06-04,2700 BLOCK W MARKET ST,LOUISVILLE,KY,40212,BLACK,M,22,NA,NA,"(20,30]",Jun 2010,2010,2010
80-10-029329,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",UNKNOWN MANUFAC,NA,380C,2010-04-23,N 21ST ST / DR W J HODGE ST,LOUISVILLE,KY,40203,BLACK,M,20,NA,NA,"(10,20]",Apr 2010,2010,2010
80-10-029329,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",UNKNOWN MANUFAC,NA,380C,2010-04-23,N 21ST ST / DR W J HODGE ST,LOUISVILLE,KY,40203,BLACK,M,20,NA,NA,"(10,20]",Apr 2010,2010,2010
80-10-030388,WPNS LAW VIOLATION,"PISTOL, REVOLVER",CHARTER ARMS CO,NA,38C,2010-04-26,S 20TH ST / MAGAZINE ST,LOUISVILLE,KY,40203,BLACK,M,40,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-030388,WPNS LAW VIOLATION,"PISTOL, REVOLVER",CHARTER ARMS CO,NA,38C,2010-04-26,S 20TH ST / MAGAZINE ST,LOUISVILLE,KY,40203,BLACK,M,40,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-031067,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NONE,9MM,2010-04-29,3500 BLOCK BARDSTOWN RD,LOUISVILLE,KY,40218,BLACK,M,22,NA,NA,"(20,30]",Apr 2010,2010,2010
80-10-031582,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,NA,4570,2010-04-30,1500 BLOCK MAGAZINE ST,LOUISVILLE,KY,40203,BLACK,M,34,NA,NA,"(30,40]",Apr 2010,2010,2010
80-10-031900,WPNS LAW VIOLATION,"PISTOL, REVOLVER",OMEGA DEFENSIVE,MOD 7,22C,2010-05-01,S 28TH ST / W KENTUCKY ST,LOUISVILLE,KY,40211,BLACK,M,17,NA,NA,"(10,20]",May 2010,2010,2010
80-10-032344,AGGRAVATED ASSAULT,"PISTOL, REVOLVER",NA,NA,38C,2010-05-03,500 BLOCK E KENTUCKY ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-032828,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",BROWNING ARMS C,NA,9MM,2010-05-05,2600 BLOCK W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,21,NA,NA,"(20,30]",May 2010,2010,2010
80-10-032828,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",BROWNING ARMS C,NA,9MM,2010-05-05,2600 BLOCK W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,21,NA,NA,"(20,30]",May 2010,2010,2010
80-10-033510,WPNS LAW VIOLATION,"RIFLE, CARBINE",HIPOINT,NA,9MM,2010-05-07,12400 BLOCK HERSFIELD RD,LOUISVILLE,KY,40223,WHITE,M,15,NA,NA,"(10,20]",May 2010,2010,2010
80-10-034094,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",JENNINGS FIREAR,MODEL 48,380C,2010-05-09,1900 BLOCK LYTLE ST,LOUISVILLE,KY,40203,WHITE,M,36,NA,NA,"(30,40]",May 2010,2010,2010
80-10-032882,WPNS LAW VIOLATION,"PISTOL, REVOLVER",TAURUS INTERNAT,TAURUS INTERNAT,38C,2010-05-10,600 BLOCK W. JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,F,22,NA,NA,"(20,30]",May 2010,2010,2010
80-10-032882,WPNS LAW VIOLATION,"PISTOL, REVOLVER",TAURUS INTERNAT,TAURUS INTERNAT,38C,2010-05-10,600 BLOCK W. JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,F,22,NA,NA,"(20,30]",May 2010,2010,2010
80-10-050291,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,NA,25C,2010-07-03,5600 BLOCK REGAL DR,LOUISVILLE,KY,40218,BLACK,M,24,NA,NA,"(20,30]",Jul 2010,2010,2010
80-10-051689,ROBBERY,"PISTOL, SEMI-AUTOMATIC",RADOM,VIS-35,9MM,2010-07-08,100 BLOCK S 25TH ST,LOUISVILLE,KY,40212,BLACK,M,29,NA,NA,"(20,30]",Jul 2010,2010,2010
80-10-017677,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2010-03-12,6900 BLOCK MATTHEWS RD,LOUISVILLE,KY,40258,BLACK,M,30,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-017677,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2010-03-12,6900 BLOCK MATTHEWS RD,LOUISVILLE,KY,40258,BLACK,M,30,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-019295,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TITAN MFG. CORP,NA,25C,2010-03-19,S 13TH ST / W BROADWAY,LOUISVILLE,KY,40203,WHITE,F,26,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-019295,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TITAN MFG. CORP,NA,25C,2010-03-19,S 13TH ST / W BROADWAY,LOUISVILLE,KY,40203,WHITE,F,26,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-019295,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TITAN MFG. CORP,NA,25C,2010-03-19,S 13TH ST / W BROADWAY,LOUISVILLE,KY,40203,WHITE,F,26,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-019773,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,NA,38C,2010-03-20,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,19,NA,NA,"(10,20]",Mar 2010,2010,2010
80-10-019773,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,NA,38C,2010-03-20,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,19,NA,NA,"(10,20]",Mar 2010,2010,2010
