CodesAndRegsPermitsID,PermitNumber,Contractor,Description,Category,CategoryName,WorkType,Permittype,Zoning,SquareFeet,PermitFee,ProjectCosts,Address,City,State,ZipCode,CouncilDistrict,IssueDate,Latitude,Longitude
52,EL936481,ADVANCE ELECTRIC COMPANY,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,2000,645 N BIRCHWOOD AVE,LOUISVILLE          ,KY,40206,9,4/1/2015 11:42,38.26761,-85.699418
53,EL936481,ADVANCE ELECTRIC COMPANY,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,2000,645 N BIRCHWOOD AVE,LOUISVILLE          ,KY,40206,9,4/1/2015 11:42,38.26761,-85.699418
54,13EL7689,SABER ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,1200,658 S 39TH ST,LOUISVILLE          ,KY,40211,5,12/9/2013 13:15,38.252419,-85.816788
55,14BL3638,E H CONSTRUCTION LLC,,1,Commercial,Renovation - Alter - Repair,Building Permit,EZ1,11881,1544,250000,1300 W MUHAMMAD ALI BLVD,LOUISVILLE          ,KY,40203,4,7/25/2014 10:54,38.252775,-85.7725147
56,FD938838,"R-M SYSTEMS, INC",,1,Commercial,Modify,Fire Detection Permit,EZ1,8020,150,7000,1300 W MUHAMMAD ALI BLVD,LOUISVILLE          ,KY,40203,4,4/24/2015 9:31,38.252775,-85.7725147
57,HV941476,JACOBI MECHANICAL,,1,Commercial,Replacement,HVAC Permit,C2,0,180,5000,901 W BROADWAY ,LOUISVILLE          ,KY,40203,4,5/18/2015 14:08,38.2471303,-85.7667931
58,14HV7126,JACOBI MECHANICAL,,1,Commercial,Replacement,HVAC Permit,C2,0,150,5000,901 W BROADWAY ,LOUISVILLE          ,KY,40203,4,6/25/2014 11:45,38.2471303,-85.7667931
59,SI943142,SIGN A RAMA DOWNTOWN,,1,Commercial,On Premises Sign,Sign Permit,EZ1,0,53,5000,900 S 12TH ST,LOUISVILLE          ,KY,40210,6,6/2/2015 14:39,38.24315,-85.77275
60,14HV3150,ALPHA MECHANICAL INC,,1,Commercial,Replacement,HVAC Permit,R6,0,225,21883,416 N 29TH ST,LOUISVILLE          ,KY,40212,5,3/19/2014 16:10,38.2684688,-85.797152
61,BL918553,ALAN G WATSON CONST INC,,2,Residential,Addition,Building Permit,R1,150,50,65000,604 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,10/3/2014 10:34,38.270263,-85.678303
62,BL918553,ALAN G WATSON CONST INC,,2,Residential,Addition,Building Permit,R1,150,100,65000,604 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,10/3/2014 10:34,38.270263,-85.678303
63,13BL4827,KATHERINE G DOLL,,2,Residential,Addition,Building Permit,R5,405,50,187750,401 MAYFAIR LN,LOUISVILLE          ,KY,40207,9,8/28/2013 11:44,38.267123,-85.674444
64,14BL3517,A D GENERAL CONTRACTING LLC,,5,Other,Miscellaneous,Building Permit,R5,720,79,18000,152 PENNSYLVANIA AVE,LOUISVILLE          ,KY,40206,9,7/11/2014 12:54,38.257613,-85.683366
65,13HV7297,"ROBBINS HEATING & A/C CO., INC.",,1,Commercial,Replacement,HVAC Permit,R5,0,75,1000,135 BLACKBURN AVE,LOUISVILLE          ,KY,40206,9,11/11/2013 9:09,38.2561,-85.675011
66,HV942875,PERRYS HEATING & COOLING,,2,Residential,Replacement,HVAC Permit,R5,0,105,2800,422 KNIGHTSBRIDGE RD,LOUISVILLE          ,KY,40206,9,6/1/2015 13:17,38.260806,-85.689604
67,328474,ESPOSITO CONST INC,,2,Residential,Addition,Building Permit,R5,2021,151,105000,343 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,9,5/30/2012 12:17,38.26656,-85.678093
68,14EL7506,J H ELECTRIC LLC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,1800,604 RIVERWOOD PL,LOUISVILLE          ,KY,40207,9,7/24/2014 10:19,38.270762,-85.69084
69,HV917949,BRYANT BURNETT HEATING AC,,2,Residential,Replacement,HVAC Permit,R5,0,75,2100,431 KNIGHTSBRIDGE RD,LOUISVILLE          ,KY,40206,9,9/29/2014 16:01,38.260765,-85.688784
70,EL941279,WILLIAM THOMPSON  ELECTRIC COMPANY INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,35,3500,1134 PLATO TER,LOUISVILLE          ,KY,40211,5,5/15/2015 10:42,38.240861,-85.829369
71,EL941279,WILLIAM THOMPSON  ELECTRIC COMPANY INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,3500,1134 PLATO TER,LOUISVILLE          ,KY,40211,5,5/15/2015 10:42,38.240861,-85.829369
72,EL941279,WILLIAM THOMPSON  ELECTRIC COMPANY INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,100,3500,1134 PLATO TER,LOUISVILLE          ,KY,40211,5,5/15/2015 10:42,38.240861,-85.829369
73,EL929489,KEITH BAKER ELECTRIC LLC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,100,640 S 39TH ST,LOUISVILLE          ,KY,40211,5,1/14/2015 15:50,38.253473,-85.816604
74,EL938497,LANHAMS HEATING AC ELEC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,800,680 CECIL AVE,LOUISVILLE          ,KY,40211,5,4/21/2015 9:48,38.251198,-85.821589
75,HV920153,C & L HEATING AC INC,,1,Commercial,Replacement,HVAC Permit,EZ1,0,225,10240,1121 W KENTUCKY ST,LOUISVILLE          ,KY,40210,6,10/17/2014 15:42,38.241097,-85.77167
76,13HV3646,C & L HEATING AC INC,,1,Commercial,Replacement,HVAC Permit,EZ1,0,150,5763,1121 W KENTUCKY ST,LOUISVILLE          ,KY,40210,6,7/26/2013 14:43,38.241097,-85.77167
77,13SI1210,ABC NEON AND SIGN CO. INC.,,1,Commercial,On Premises Sign,Sign Permit,PD,0,50,3200,612 W BROADWAY ,LOUISVILLE          ,KY,40202,6,10/23/2013 10:17,38.2459599,-85.762501
78,BL927337,PROVENCE PROPERTIES LLC,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,1335,100,65000,502 COUNTRY LN,ROLLING FIELDS      ,KY,40207,7,12/19/2014 13:27,38.269001,-85.672946
79,BL930152,3 B & K COMPANY,,2,Residential,Renovation - Alter - Repair,Building Permit,R2,1008,75,55000,68 WESTWIND RD,INDIAN HILLS        ,KY,40207,7,1/21/2015 14:14,38.2802,-85.665876
80,14BL3729,H KEVIN HOSKINS CONSTRUCTION,,5,Other,Addition,Building Permit,R3,240,50,5000,708 MERRIFIELD RD,WINDY HILLS         ,KY,40207,7,7/22/2014 13:11,38.2775899,-85.635364
81,321108,PRO4MANCE CONTRACTING SERVICES,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,200,35,35000,700 MERRIFIELD RD,WINDY HILLS         ,KY,40207,7,2/14/2012 14:29,38.276669,-85.635521
82,321108,PRO4MANCE CONTRACTING SERVICES,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,200,15,35000,700 MERRIFIELD RD,WINDY HILLS         ,KY,40207,7,2/14/2012 14:29,38.276669,-85.635521
83,13BL4772,TECTONICS INC,,2,Residential,Renovation - Alter - Repair,Building Permit,R1,868,65,20000,708 RUDY LN,WINDY HILLS         ,KY,40207,7,8/23/2013 13:00,38.276537,-85.637451
84,353522,DFH COMPANY,,2,Residential,New,HVAC Permit,R1,0,75,5500,620 RUDY LN,WINDY HILLS         ,KY,40207,7,2/11/2013 8:06,38.275415,-85.6365
85,13BL1336,LYNN ENTERPRISES LLC,,2,Residential,Addition,Building Permit,R3,1225,91,225000,403 DUFF LN,ROLLING FIELDS      ,KY,40207,7,6/14/2013 11:13,38.268101,-85.665123
86,354302,FUSION ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R4,0,50,10000,601 MARYHILL LN,MARYHILL ESTATES    ,KY,40207,7,2/19/2013 8:22,38.265938,-85.651343
87,354302,FUSION ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R4,0,50,10000,601 MARYHILL LN,MARYHILL ESTATES    ,KY,40207,7,2/19/2013 8:22,38.265938,-85.651343
88,352316,SMITHFIELD DEVELOPMENT & CONST,,2,Residential,Addition,Building Permit,R4,480,14,75000,601 MARYHILL LN,MARYHILL ESTATES    ,KY,40207,7,1/24/2013 14:53,38.265938,-85.651343
89,352316,SMITHFIELD DEVELOPMENT & CONST,,2,Residential,Addition,Building Permit,R4,480,36,75000,601 MARYHILL LN,MARYHILL ESTATES    ,KY,40207,7,1/24/2013 14:53,38.265938,-85.651343
90,354302,FUSION ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R4,0,35,10000,601 MARYHILL LN,MARYHILL ESTATES    ,KY,40207,7,2/19/2013 8:22,38.265938,-85.651343
91,14BL4003,"LOUISVILLE HANDYMAN, INC.",,5,Other,Renovation - Alter - Repair,Building Permit,R5A,1580,118,35000,302 PEPPERBUSH RD,LOUISVILLE          ,KY,40207,9,8/8/2014 12:13,38.260833,-85.668849
92,BL935245,BRASCH-BARRY GENERAL CONTRACT,,1,Commercial,Renovation - Alter - Repair,Building Permit,(C3),2375,308,18000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,3/25/2015 9:22,38.255147,-85.7571058
93,79783,GAYLOR GROUP INC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,90,40000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/18/2005 8:17,38.255147,-85.7571058
94,79783,GAYLOR GROUP INC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,40000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/18/2005 8:17,38.255147,-85.7571058
95,79783,GAYLOR GROUP INC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,60,40000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/18/2005 8:17,38.255147,-85.7571058
96,363166,SIMPLEX GRINNELL LP,,1,Commercial,Modify,Fire Detection Permit,(C3),13500,150,11000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,5/22/2013 14:14,38.255147,-85.7571058
97,14FD1074,SIMPLEX GRINNELL LP,,1,Commercial,Modify,Fire Detection Permit,(C3),3679,150,6300,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,7/28/2014 9:19,38.255147,-85.7571058
98,326109,SIMPLEX GRINNELL LP,,1,Commercial,Modify,Fire Detection Permit,(C3),78500,270,27700,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,7/6/2012 14:55,38.255147,-85.7571058
99,156615,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/25/2007 14:10,38.255147,-85.7571058
100,17230,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/13/2004 9:23,38.255147,-85.7571058
101,194089,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,120,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/23/2008 11:20,38.255147,-85.7571058
102,148548,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,2/22/2007 7:27,38.255147,-85.7571058
103,194089,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/23/2008 11:20,38.255147,-85.7571058
104,87885,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,60,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,10/18/2005 9:31,38.255147,-85.7571058
105,156615,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/25/2007 14:10,38.255147,-85.7571058
106,156615,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/25/2007 14:10,38.255147,-85.7571058
107,148548,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,2/22/2007 7:27,38.255147,-85.7571058
108,148548,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,2/22/2007 7:27,38.255147,-85.7571058
109,148548,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,3,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,2/22/2007 7:27,38.255147,-85.7571058
110,156615,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,3,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/25/2007 14:10,38.255147,-85.7571058
111,194089,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,3,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/23/2008 11:20,38.255147,-85.7571058
112,171780,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/30/2007 11:11,38.255147,-85.7571058
113,47963,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,12/8/2004 10:02,38.255147,-85.7571058
114,47963,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,12/8/2004 10:02,38.255147,-85.7571058
115,87885,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,10/18/2005 9:31,38.255147,-85.7571058
116,32556,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,60,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/4/2004 16:01,38.255147,-85.7571058
117,44766,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,11/9/2004 9:46,38.255147,-85.7571058
118,44766,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,11/9/2004 9:46,38.255147,-85.7571058
119,17230,HENDERSON SERVICES LLC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,4/13/2004 9:23,38.255147,-85.7571058
120,171780,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,30,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/30/2007 11:11,38.255147,-85.7571058
121,171780,HENDERSON SERVICES LLC,,1,Commercial,New,Electrical Permit,(C3),0,3,5000,400 W MARKET ST,LOUISVILLE          ,KY,40202,4,8/30/2007 11:11,38.255147,-85.7571058
122,158005,Gemini Electric,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,90,2500,660 CECIL AVE,LOUISVILLE          ,KY,40211,5,5/8/2007 10:06,38.252257,-85.821404
123,158005,Gemini Electric,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,40,2500,660 CECIL AVE,LOUISVILLE          ,KY,40211,5,5/8/2007 10:06,38.252257,-85.821404
124,158005,Gemini Electric,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,90,2500,660 CECIL AVE,LOUISVILLE          ,KY,40211,5,5/8/2007 10:06,38.252257,-85.821404
125,BL926225,MILLER-DIEHL CO,,1,Commercial,Renovation - Alter - Repair,Building Permit,R7,11500,805,300000,1015 MAGAZINE ST,LOUISVILLE          ,KY,40203,4,12/10/2014 10:50,38.248873,-85.7692035
